Category;Mean_EV_Ali;Mean_EV_int;Mean_WCL_Ali;Mean_WCL_int
Adhesin/ adhesion/ IG-like 01;314363.3333;231421;-115959.27;-223582
Adhesin/ adhesion/ IG-like 02;798777.3333;650505.3333;372926.3333;-48559.08
Adhesin/ adhesion/ IG-like 03;707731;602298.6667;179037;-321774.3333
Adhesin/ adhesion/ IG-like 04;432284;344447;48124.77333;59922.42667
Adhesin/ adhesion/ IG-like 05;784382.3333;481965.3333;195774.6667;-73333.10333
Adhesin/ adhesion/ IG-like 06;109353.3333;695890.3333;610608.6667;-36437.13333
Adhesin/ adhesion/ IG-like 07;568524.3333;825332.3333;240293.3333;212076
Adhesin/ adhesion/ IG-like 08;345035;149664.85;-82199.16;-334243.3333
Adhesin/ adhesion/ IG-like 09;299333;265338;-82164.04333;134422.3333
Adhesin/ adhesion/ IG-like 10;133713.3633;157570.3;-179840.3333;-52873.51667
Adhesin/ adhesion/ IG-like 11;465279.3333;513004;273445.3333;-422515.6667
Adhesin/ adhesion/ IG-like 12;569990;502017.6667;61799.03333;-58037.46
Adhesin/ adhesion/ IG-like 13;123971.9733;92377.43333;-203507.6667;-130658.7633
Adhesin/ adhesion/ IG-like 14;527500.6667;301037.6667;48946.79333;-111417
Adhesin/ adhesion/ IG-like 15;322184.3333;147699.3333;-84064.42333;-95822.36333
Adhesin/ adhesion/ IG-like 16;220630.3;185651.6667;-98094.15333;0.09
Adhesin/ adhesion/ IG-like 17;224252.6667;87473.28333;-223587.1933;-9871.903333
Adhesin/ adhesion/ IG-like 18;558486;701424;320113.6667;-102135.3333
Adhesin/ adhesion/ IG-like 19;588187.6667;399502.6667;91663;0.016666667
Adhesin/ adhesion/ IG-like 20;219158.6667;300091;-0.006666667;45755.48333
Adhesin/ adhesion/ IG-like 21;555627.3333;330491.6667;-140560.3333;-141920.6667
Adhesin/ adhesion/ IG-like 22;547916.3333;360069.3333;129667.61;-45534
Adhesin/ adhesion/ IG-like 23;546900;493987.3333;77718.33333;-111101.3333
Adhesin/ adhesion/ IG-like 24;220121.6067;248462.5933;-71386.33;-159789.6667
Adhesin/ adhesion/ IG-like 25;382945.6667;128613.6667;-10713.88333;0
Adhesin/ adhesion/ IG-like 26;605289.6667;528506.6667;37342.66667;0
Adhesin/ adhesion/ IG-like 27;209703;232339.6667;-257555.6667;0
Adhesin/ adhesion/ IG-like 28;569621.3333;711392.3333;377519.3333;0
Adhesin/ adhesion/ IG-like 29;361758.6667;-32957;-103643.3333;0
Adhesin/ adhesion/ IG-like 30;564491;533229.6667;259668.3333;0
Adhesin/ adhesion/ IG-like 31;131191.3333;85702;-145467.6667;0
Adhesin/ adhesion/ IG-like 32;511057;467893.3333;144204.46;0
Adhesin/ adhesion/ IG-like 33;736238;601616;179291.3333;0
Adhesin/ adhesion/ IG-like 34;-40711.98667;-108403.3533;0;-136844.6367
Adhesin/ adhesion/ IG-like 35;378806.6667;245801.6667;-33799.49;79135
Adhesin/ adhesion/ IG-like 36;598872.6667;367813;125081.6667;0
Adhesin/ adhesion/ IG-like 37;312410.3333;109351.75;-130807.31;0
Adhesin/ adhesion/ IG-like 38;345579.3333;418090;-67408.04667;0
Adhesin/ adhesion/ IG-like 39;103041.4867;-35595.66667;92197.76333;0
Adhesin/ adhesion/ IG-like 40;354588.6667;231749.6667;-75093.97333;0
Adhesin/ adhesion/ IG-like 41;317893;260402.3333;0.523333333;0
Adhesin/ adhesion/ IG-like 42;344886.6667;152972;-54564.16667;0
Adhesin/ adhesion/ IG-like 43;343646.6667;234407.71;-171630.3333;0
Adhesin/ adhesion/ IG-like 44;170437.95;146433.03;-289431.6667;0
Adhesin/ adhesion/ IG-like 45;167521.9367;85249.79;-105297.3333;0
Adhesin/ adhesion/ IG-like 46;24429.33333;10934.24333;0;0
