Category	M_smithii_ALI_EV	M_intestini_EV	M_smithii_ALI_WCL	M_intestini_WCL
Adhesin/ adhesion/ IG-like	314363.3333	231421	-115959.2721	-223582
Adhesin/ adhesion/ IG-like	798777.3333	650505.3333	372926.3333	-48559.08095
Adhesin/ adhesion/ IG-like	707731	602298.6667	179037	-321774.3333
Adhesin/ adhesion/ IG-like	432284	344447	48124.77144	59922.42689
Adhesin/ adhesion/ IG-like	784382.3333	481965.3333	195774.6667	-73333.10485
Adhesin/ adhesion/ IG-like	109353.3333	695890.3333	610608.6667	-36437.13592
Adhesin/ adhesion/ IG-like	568524.3333	825332.3333	240293.3333	212076
Adhesin/ adhesion/ IG-like	345035	149664.8494	-82199.16178	-334243.3333
Adhesin/ adhesion/ IG-like	299333	265338	-82164.04255	134422.3333
Adhesin/ adhesion/ IG-like	133713.3634	157570.2985	-179840.3333	-52873.51837
Adhesin/ adhesion/ IG-like	465279.3333	513004	273445.3333	-422515.6667
Adhesin/ adhesion/ IG-like	569990	502017.6667	61799.03251	-87056.19171
Adhesin/ adhesion/ IG-like	123971.9722	92377.43314	-305261.5	-130658.7642
Adhesin/ adhesion/ IG-like	527500.6667	301037.6667	48946.7918	-167125.5
Adhesin/ adhesion/ IG-like	322184.3333	147699.3333	-84064.42299	-143733.5448
Adhesin/ adhesion/ IG-like	220630.3009	185651.6667	-98094.15304	0.1350209
Adhesin/ adhesion/ IG-like	224252.6667	87473.28184	-223587.1942	-14807.85267
Adhesin/ adhesion/ IG-like	558486	701424	320113.6667	-306406
Adhesin/ adhesion/ IG-like	588187.6667	399502.6667	91663	0.0521221
Adhesin/ adhesion/ IG-like	219158.6667	300091	-0.0102635	68633.22598
Adhesin/ adhesion/ IG-like	555627.3333	330491.6667	-140560.3333	-425762
Adhesin/ adhesion/ IG-like	547916.3333	360069.3333	129667.6106	-136602
Adhesin/ adhesion/ IG-like	546900	493987.3333	77718.33333	-333304
Adhesin/ adhesion/ IG-like	220121.6079	248462.5939	-71386.32747	-479369
Adhesin/ adhesion/ IG-like	382945.6667	128613.6667	-10713.88135	NA
Adhesin/ adhesion/ IG-like	605289.6667	528506.6667	37342.66667	NA
Adhesin/ adhesion/ IG-like	209703	232339.6667	-257555.6667	NA
Adhesin/ adhesion/ IG-like	569621.3333	711392.3333	377519.3333	NA
Adhesin/ adhesion/ IG-like	361758.6667	-32957	-103643.3333	NA
Adhesin/ adhesion/ IG-like	564491	533229.6667	259668.3333	NA
Adhesin/ adhesion/ IG-like	131191.3333	85702	-145467.6667	NA
Adhesin/ adhesion/ IG-like	511057	467893.3333	144204.4598	NA
Adhesin/ adhesion/ IG-like	736238	601616	179291.3333	NA
Adhesin/ adhesion/ IG-like	-40711.98582	-108403.3547	NA	-136844.6357
Adhesin/ adhesion/ IG-like	378806.6667	245801.6667	-50699.23389	237405
Adhesin/ adhesion/ IG-like	598872.6667	367813	125081.6667	NA
Adhesin/ adhesion/ IG-like	312410.3333	109351.7502	-130807.311	NA
Adhesin/ adhesion/ IG-like	345579.3333	418090	-67408.04707	NA
Adhesin/ adhesion/ IG-like	103041.4868	-35595.6654	92197.76411	NA
Adhesin/ adhesion/ IG-like	354588.6667	231749.6667	-112640.959	NA
Adhesin/ adhesion/ IG-like	317893	260402.3333	0.783883	NA
Adhesin/ adhesion/ IG-like	344886.6667	152972	-81846.2494	NA
Adhesin/ adhesion/ IG-like	343646.6667	234407.7116	-257445.5	NA
Adhesin/ adhesion/ IG-like	170437.9506	146433.029	-434147.5	NA
Adhesin/ adhesion/ IG-like	167521.937	85249.78992	-315892	NA
Adhesin/ adhesion/ IG-like	24429.33333	10934.24286	NA	NA
Amino acid-associated functions	146598.0964	-21794.77895	359067.6667	0.27133
Amino acid-associated functions	52807.92124	42778.56046	356031.6667	491726
Amino acid-associated functions	152988.278	109731.7703	254533	324457.3333
Amino acid-associated functions	39474.33764	-46155.03343	35154.44759	80170.15858
Amino acid-associated functions	-8437.557371	3610.721035	447618	374186.3333
Amino acid-associated functions	258876	4134.657456	471142.6667	443400.3333
Amino acid-associated functions	255436.3333	93549.71821	478262	446090.3333
Amino acid-associated functions	127666.0469	58022.9739	510047.6667	536850.3333
Amino acid-associated functions	0.503759	-0.303977	165351.3333	175579.3333
Amino acid-associated functions	97164.32339	119046.0731	342308.3333	319876
Amino acid-associated functions	68696.3501	156408.3163	256152.3333	262384
Amino acid-associated functions	100171.3333	15950.2557	302534.6667	365826.6667
Amino acid-associated functions	157918.3333	86697.9895	-121468	NA
Aminotransferase	52899.10259	0.367212	242815.6667	298531.3333
Anti-viral defense	-98085.54104	-129024.5716	-34989.0042	-170142
Anti-viral defense	131467.3719	88104.22297	224756.6667	NA
ATP metabolic process	194956.6667	150073.5532	89309	218596.6667
ATP metabolic process	362437	190918	480518.6667	435995.6667
ATP metabolic process	283645	385718.3333	550737.3333	531665
ATP metabolic process	64456.30607	289570.3333	296674.3333	330050.6667
Carbohydrates-associated functions	180654.6506	4682.462173	375284.6667	557341.6667
Carbohydrates-associated functions	303398.3333	220394.3333	471470.3333	599249.3333
Cofactor biosynthesis	588264.3333	547142	678426	788643
Cofactor biosynthesis	276699	239652	433821.3333	454593.3333
