Strain ;Size_nm;Concentration_ml;Protein_ug_per_ml;DNA_ng_per_ul;RNA_ng_per_ul;Lipid_ug_ml;Expt. ;Replicate
3_M. smithii GRAZ-2;138.9;6.10E+10;317;1.89;0.331;;E05;1
3_M. smithii GRAZ-2;;;300;1.82;0.333;;E05;2
3_M. smithii GRAZ-2;;;308;;;;E05;3
1_M. smithii ALI;140.6;3.10E+11;40;3.76;;27.24;E06;1
1_M. smithii ALI;136.5;3.90E+11;44;3.75;;;E06;2
1_M. smithii ALI;122.4;8.50E+10;44;;;;E06;3
1_M. smithii ALI;115.8;1.00E+11;;;;;E06;4
1_M. smithii ALI;115.5;1.30E+11;;;;;E06;5
1_M. smithii ALI;115.2;5.60E+10;;;;;E06;6
1_M. smithii ALI;143.1;4.30E+10;;;;;E06;7
1_M. smithii ALI;110.3;1.33E+11;;;;;E06;8
2_M. intestini ;136.4;7.10E+10;44;2.98;;;E07;1
2_M. intestini ;149.2;5.90E+10;48;2.94;;;E07;2
2_M. intestini ;131.8;9.20E+10;51.2;;;;E07;3
2_M. intestini ;137.6;3.40E+10;;;;;E07;4
2_M. intestini ;141.6;6.10E+10;;;;;E07;5
2_M. intestini ;137.2;1.00E+10;;;;;E07;6
2_M. intestini ;141.6;2.60E+09;;;;;E07;7
2_M. intestini ;152;2.30E+10;44;46.3;;;E08.1;1
2_M. intestini ;121.5;1.20E+10;44;45.6;;;E08.1;2
2_M. intestini ;129.9;9.30E+09;48;11.9;;;E08.1;3
2_M. intestini ;;;20.7;;;;E08.1;4
2_M. intestini ;;;21.1;;;;E08.1;5
2_M. intestini ;;;26.1;;;;E08.1;6
2_M. intestini ;197.3;5.40E+10;23;;;;E08.2;7
2_M. intestini ;187.7;1.50E+10;26.5;;;;E08.2;8
2_M. intestini ;148.5;9.30E+09;;;;;E08.2;9
2_M. intestini ;124.6;1.00E+10;;;;;E08.2;10
1_M. smithii ALI;114;1.10E+11;85.6;49.1;0.25;;E09.1;1
1_M. smithii ALI;106.6;5.30E+10;83.6;51;0.252;;E09.1;2
1_M. smithii ALI;102.3;5.60E+10;88.4;;;;E09.1;3
1_M. smithii ALI;;;26.9;;;;E09.1;4
1_M. smithii ALI;;;27.9;;;;E09.1;5
1_M. smithii ALI;129.1;5.40E+10;44;5.9;0.21;68.87;E09.2;6
1_M. smithii ALI;116;2.30E+10;48;5.8;0.21;;E09.2;7
1_M. smithii ALI;86.9;8.30E+10;53.2;;;;E09.2;8
1_M. smithii ALI;138.9;3.70E+11;58;3.61;;24.82;E10;1
1_M. smithii ALI;135;2.60E+11;58;3.53;;;E10;2
1_M. smithii ALI;147.3;2.70E+11;60.8;;;;E10;3
1_M. smithii ALI;121.2;3.60E+10;;;;;E10;4
1_M. smithii ALI;118.2;1.70E+10;;;;;E10;5
1_M. smithii ALI;121.3;6.20E+10;;;;;E10;6
1_M. smithii ALI;121.6;4.00E+10;;;;;E10;7
1_M. smithii ALI;119.3;1.90E+10;;;;;E10;8
1_M. smithii ALI;116.1;6.90E+10;;;;;E10;9
3_M. smithii GRAZ-2;134.2;2.60E+10;492;3.16;0.7258;;E11;1
3_M. smithii GRAZ-2;121.5;2.70E+10;492;3.3;0.734;;E11;2
3_M. smithii GRAZ-2;;;472;;;;E11;3
3_M. smithii GRAZ-2;122;4.70E+10;50.4;4.75;;;E12.1;1
3_M. smithii GRAZ-2;131.8;5.00E+10;6;4.76;;;E12.1;2
3_M. smithii GRAZ-2;131.1;6.30E+10;59.6;;;;E12.1;3
3_M. smithii GRAZ-2;;;63.2;;;;E12.1;4
3_M. smithii GRAZ-2;120.4;6.10E+10;57.6;5.4;;45.93;E12.2;5
3_M. smithii GRAZ-2;134.8;2.40E+10;84.8;5.3;;;E12.2;6
3_M. smithii GRAZ-2;103.8;1.40E+10;84.8;;;;E12.2;7
3_M. smithii GRAZ-2;108.2;1.20E+10;89.6;;;;E12.2;8
3_M. smithii GRAZ-2;101;1.50E+10;;;;;E12.2;9
3_M. smithii GRAZ-2;112.7;9.60E+10;;;;;E12.2;10
3_M. smithii GRAZ-2;116.3;5.60E+10;62.4;5.9;;;E12.3;11
3_M. smithii GRAZ-2;118.9;3.40E+10;8;5.9;;;E12.3;12
3_M. smithii GRAZ-2;114.9;3.00E+10;8;;;;E12.3;13
3_M. smithii GRAZ-2;;;8.4;;;;E12.3;14
2_M. intestini ;127.7;6.30E+09;12.9;1.26;;;E13;1
2_M. intestini ;141.7;1.20E+10;11;1.23;;;E13;2
2_M. intestini ;146.6;4.10E+09;;;;;E13;3
2_M. intestini ;144.6;7.10E+09;;;;;E13;4
2_M. intestini ;134.4;4.40E+10;;;;;E13;5
2_M. intestini ;170.3;1.10E+10;;;;;E13;6
4_M. stadtmanae;130.2;1.10E+10;4;0.237;;28.25;E14.1;1
4_M. stadtmanae;138.2;5.00E+09;12.5;0.237;;;E14.1;2
4_M. stadtmanae;;;13;;;;E14.1;3
