Strain ;mean_DNA;mean_concentration;normalized_DNA;Expt. 
4_M. stadtmanae;0.21725;8000000000;0.2715625;E14.1
4_M. stadtmanae;1.1;4300000000;2.558139535;E15
4_M. stadtmanae;0.303;19300000000;0.156994819;E21
4_M. stadtmanae;0.0371;40800000000;0.009093137;E28
4_M. stadtmanae;0.356;23400000000;0.152136752;E34
4_M. stadtmanae;0.2915;19900000000;0.146482412;E35
3_M. smithii GRAZ-2;1.855;61000000000;0.304098361;E05
3_M. smithii GRAZ-2;3.23;26500000000;1.218867925;E11
3_M. smithii GRAZ-2;5.335;41833333333;1.275298805;E12.1
3_M. smithii GRAZ-2;2.1425;5.63E+12;0.003805506;E20
3_M. smithii GRAZ-2;0.79;22200000000;0.355855856;E39
2_M. intestini ;2.96;65000000000;0.455384615;E07
2_M. intestini ;1.245;14083333333;0.884023669;E13
2_M. intestini ;0.9135;2800000000;3.2625;E16
2_M. intestini ;5.2225;47550000000;1.09831756;E24
2_M. intestini ;5.5;69600000000;0.790229885;E30
2_M. intestini ;5.1;25100000000;2.03187251;E31
2_M. intestini ;4.5825;69900000000;0.655579399;E32
2_M. intestini ;4.535;26000000000;1.744230769;E37
2_M. intestini ;2.63;12100000000;2.173553719;E41
1_M. smithii ALI;3.755;3.50E+11;0.107285714;E06
1_M. smithii ALI;27.95;59200000000;4.721283784;E09.1
1_M. smithii ALI;3.57;3.15E+11;0.113333333;E10
1_M. smithii ALI;4.596666667;1.14E+12;0.040296894;E23
1_M. smithii ALI;4.97;1.71E+11;0.291495601;E25
1_M. smithii ALI;3.4975;67100000000;0.52123696;E26
1_M. smithii ALI;5.1775;61900000000;0.836429725;E33
1_M. smithii ALI;0.2365;20700000000;0.114251208;E40
