Strain ;mean_RNA;mean_concentration;Expt. ;normalized_RNA
4_M. stadtmanae;0.6755;40800000000;E28;0.165563725
3_M. smithii GRAZ-2;0.332;61000000000;E05;0.05442623
3_M. smithii GRAZ-2;0.7299;26500000000;E11;0.275433962
3_M. smithii GRAZ-2;0.668;5.63E+12;E20;0.001186501
3_M. smithii GRAZ-2;0.5495;22200000000;E39;0.247522523
2_M. intestini ;0.662;47550000000;E24;0.139221872
2_M. intestini ;0.786;69600000000;E30;0.112931034
2_M. intestini ;0.5;25100000000;E31;0.199203187
2_M. intestini ;0.473;69900000000;E32;0.067668097
2_M. intestini ;0.4275;26000000000;E37;0.164423077
1_M. smithii ALI;0.2305;59200000000;E09.1;0.038935811
1_M. smithii ALI;0.325;1.1407E+12;E23;0.002849128
1_M. smithii ALI;0.9975;1.705E+11;E25;0.058504399
1_M. smithii ALI;0.7;67100000000;E26;0.104321908
1_M. smithii ALI;0.388;61900000000;E33;0.062681745
1_M. smithii ALI;0.394;20700000000;E40;0.190338164
