EV_Ali_19	EV_Ali_25	EV_Ali_26	EV_int24_2	EV_int30_2	EV_int32_1	WCL_Ali_19	WCL_Ali_25	WCL_Ali_26	WCL_Int_24	WCL_Int_30	WCL_Int_31	Annotation	Category
-0.733183	-0.848434	0.82852	-0.089921	"104,023"	"172,166"	"161,281"	"144,715"	"194,342"	"166,889"	"265,611"	"186,611"	Large ribosomal subunit protein eL21	Translation 
"-284,185"	-0.0109863	"263,387"	-0.58742	"281,633"	0.215305	"181,052"	"19,238"	"332,696"	"210,329"	0.721665	0.897532	Adenylat kinase	Nucleobase-associated functions
-0.516195	0.975716	"192,338"	"-147,052"	0.306267	"-128,993"	0.792696	"163,361"	"163,617"	"183,131"	"201,955"	"167,384"	Type 2 DNA topoisomerase 6 subunit A	DNA-associated functions
"158,421"	"253,522"	"24,549"	0.968974	"275,173"	"238,523"	"268,499"	"276,908"	"322,815"	"400,492"	"410,772"	"336,939"	ribosomal protein L18	Translation 
"181,867"	"275,869"	"344,123"	"234,265"	"357,628"	0.0301342	"375,899"	"398,952"	"377,308"	"445,378"	"426,428"	"425,527"	Arginine--tRNA ligase	Translation 
"330,594"	"331,094"	"314,202"	-0.318862	"270,699"	0.626238	"373,918"	"476,055"	"395,972"	"48,572"	"518,813"	"478,092"	Putative Formylmethanofuran dehydrogenase subunit B	Methanogenesis/ C1 metabolic processes
"28,251"	"454,088"	"56,734"	"28,548"	"517,978"	"421,735"	"118,904"	"127,574"	"-15,607"	"-262,297"	"-316,883"	-0.537502	Putative OPT family oligopeptide transporter of peptide and iron-siderophore!	Transport
-0.135685	"188,853"	"209,622"	-0.226901	"117,773"	-0.280653	"277,853"	"328,909"	"307,495"	"356,986"	"371,344"	"422,721"	Pyruvate carboxylase subunit A	Pyruvate-associated functions
"302,813"	"306,108"	"334,169"	"136,189"	"369,558"	"188,516"	-0.893084	-0.92322	"-347,876"	"-123,182"	"-224,105"	"-323,459"	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
"120,706"	0.243196	"118,423"	"-341,163"	"141,874"	"162,624"	"166,413"	"179,605"	0.969412	0.97728	"209,051"	"187,929"	Putative Predicted RNA-binding protein	RNA-associated functions
"311,984"	"458,897"	"433,431"	"263,918"	"447,152"	"33,595"	"47,275"	"469,758"	"540,285"	"229,921"	"198,271"	"234,585"	CoB--CoM heterodisulfide reductase subunit B	Methanogenesis/ C1 metabolic processes
"-254,028"	0.151566	0.762606	"-33,974"	0.171162	"-146,802"	"173,252"	"179,605"	"152,137"	"165,285"	"152,902"	"195,591"	DUF2114 family protein	unknown function
-0.582691	"260,165"	"238,995"	"-219,845"	"269,558"	0.851797	"244,524"	"294,202"	"247,494"	"190,839"	"185,265"	"16,152"	NH(3)-dependent NAD(+) synthetase	NAD biosynthetic process
"-404,784"	-0.0926704	"170,731"	-0.628589	"118,917"	"-247,966"	"160,845"	"128,528"	"190,352"	0.891785	"191,915"	"193,081"	Putative Large ribosomal subunit protein uL16	Translation 
"413,026"	-0.809546	"340,411"	"-332,646"	"337,651"	"246,323"	"788,076"	"767,597"	"730,416"	"723,631"	"723,782"	"754,139"	Methyl-coenzyme M reductase subunit gamma	Methanogenesis/ C1 metabolic processes
0.515938	0.871881	0.427422	0.0938768	"143,255"	0.568371	"273,252"	"224,083"	"171,971"	0.149748	0.852651	-0.141853	Putative DUF356 domain-containing protein	unknown function
"880,492"	"778,156"	"737,684"	"569,334"	"713,299"	"668,883"	"481,841"	"362,236"	"274,702"	"-145,676"	-0.510697	-0.732149	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
"773,839"	"708,708"	"640,646"	"554,344"	"619,505"	"633,047"	"3,801"	"351,283"	"182,027"	"-304,769"	"-338,523"	"-322,031"	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
"29,886"	"201,308"	"330,693"	0.3014	"347,985"	"174,456"	"271,234"	"256,472"	"257,991"	"164,926"	"176,859"	"125,981"	Putative DUF655 domain-containing protein	unknown function
-0.516195	"109,325"	0.389948	"-178,905"	"160,094"	"-268,043"	"126,673"	0.9238	0.719711	"207,682"	"14,858"	"13,572"	DNA-binding protein MutS2	DNA-associated functions
0.844206	"173,915"	"458,703"	-0.508447	"418,387"	0.266834	"247,748"	"271,358"	"239,087"	"23,443"	"223,325"	"216,401"	ATP-dependent DNA helicase Hel308	DNA-associated functions
"426,871"	"442,336"	"427,645"	"354,975"	"444,282"	"234,084"	0.76684	"144,374"	-0.452513	"179,766"	0.736493	0.544182	PutativeTransglutaminase-like superfamily	Adhesin/ adhesion/ IG-like
0.329634	0.0537186	"-139,855"	"-190,382"	0.306267	-0.489239	"214,756"	"206,352"	"188,998"	"251,175"	"201,955"	"162,305"	Glutamate--tRNA ligase	Translation 
"191,821"	"282,198"	"11,307"	0.394011	0.5308	"246,323"	"382,312"	"362,236"	"375,077"	"111,114"	"241,935"	"195,591"	Small ribosomal subunit protein uS3	Translation 
"-166,676"	-0.174309	-0.321928	-0.667064	"-134,624"	0.0449696	0.833124	"165,734"	"152,663"	-0.723875	-0.911796	-0.677109	Hypothetical protein	unknown function
"857,404"	"725,986"	"769,757"	"58,842"	"729,289"	"657,765"	"31,822"	"308,008"	"247,494"	-1	-0.314555	"-219,998"	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
"115,651"	"109,592"	"102,817"	"989,662"	"990,132"	"107,877"	"710,692"	"589,447"	"531,687"	"-109,311"	-0.482951	0.0752048	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
"785,485"	"8,409"	"911,679"	"731,114"	"865,678"	"879,205"	"347,748"	"244,204"	"128,928"	"207,682"	"189,291"	"239,255"	Putative Adhesin-like protein	Adhesin/ adhesion/ IG-like
0.846735	"306,632"	"339,941"	"18,514"	"321,815"	"356,323"	"37,191"	"376,908"	"42,362"	"471,853"	"452,347"	"485,615"	Thermosome subunit 	Protein folding
"-269,388"	-0.840572	"164,981"	-0.617244	"160,094"	0.963375	"424,207"	"41,575"	"390,352"	"303,617"	"345,565"	"343,332"	Putative SufB/sufD domain protein	unknown function
"153,801"	"202,388"	"381,091"	0.781695	"307,145"	"232,573"	"314,254"	"268,501"	"32,119"	"356,986"	"38,662"	"283,264"	30S ribosomal protein S4	Translation 
"-1,698"	"-103,322"	"-159,881"	"-141,708"	"-218,987"	-0.739506	0.835613	0.258389	0.283072	0.459433	0.754086	0.334417	Exosome complex component Csl4	RNA-associated functions
"-119,167"	-0.963255	-0.465662	"-156,182"	"-133,684"	"-195,775"	"309,657"	"329,855"	"293,684"	"289,178"	"271,719"	"253,255"	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	Translation 
"25,427"	"161,601"	"331,695"	-0.0385733	"315,709"	"124,773"	"286,028"	"223,098"	"188,998"	0.23362	"142,668"	0.291697	Orotate phosphoribosyltransferase	Nucleobase-associated functions
"280,573"	"409,735"	"180,023"	3	"132,859"	"139,973"	"395,205"	"447,161"	"434,445"	"35,265"	"346,903"	"373,092"	S-adenosyl-L-homocysteine hydrolase	Methanogenesis/ C1 metabolic processes
"217,119"	"457,066"	"258,496"	"311,217"	"234,035"	"350,742"	"712,928"	"745,584"	"782,606"	"866,622"	"830,464"	"809,933"	Elongation factor 1-alpha	Translation 
"417,119"	"719,261"	"628,413"	"538,793"	"571,971"	"530,662"	"489,351"	"747,943"	"797,984"	"801,018"	"794,849"	"770,062"	"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase"	Cofactor biosynthesis
"-144,025"	0.728624	"177,283"	-0.13775	0.538481	-0.230665	"251,679"	"262,612"	"322,815"	"367,948"	"373,206"	"345,548"	Putative Anaerobic ribonucleoside-triphosphate reductase	DNA-associated functions
-0.176186	"-194,095"	"112,387"	"-151,897"	"-130,901"	-0.617687	"198,886"	"121,907"	"168,562"	"25,216"	"288,628"	"179,836"	50S ribosomal protein L19e	Translation 
"324,014"	"262,313"	"11,666"	"104,235"	0	-0.714306	"311,718"	"380,603"	"332,193"	"253,138"	"10,649"	"266,778"	Hypothetical protein	unknown function
-0.140686	"303,461"	"341,348"	"187,168"	"355,435"	"214,819"	"101,106"	"370,294"	"385,554"	"-491,833"	"-137,702"	"-109,472"	DNA_primase_S	DNA-associated functions
